country_name,the_zoom,lat,lon
afghanistan,6,33.81566631,67.15942383
bangladesh,7,23.29181053,91.47766113
bhutan,8,27.43516521,90.51361084
maldives,7,4.455950572,74.0423584
nepal,6,27.97499795,85.72631836
argentina,4,-38.47939467,-68.24707031
belize,7,17.22475821,-87.85217285
costa rica,7,9.817329187,-83.35876465
el salvado,8,13.59259976,-88.80523682
guyana,6,4.806364709,-57.62329102
panama,7,8.602747285,-79.84313965
paraguay,5,-24.28702687,-57.46433152
suriname,7,4.171115455,-53.95935059
benin,6,8.885071663,3.328857422
cameroon,6,6.358975327,15.28198242
Central african republic,6,7.100892669,20.37963867
chad,6,12.1897038,19.80834961
congo,6,-0.6371938962,16.27075195
ghana,6,8.102738578,-1.153564453
guinea,6,10.14193169,-11.96411133
guinea-bissau,7,11.74905873,-15.32043457
madagascar,6,-19.35261089,47.42797852
malawi,6,-12.27559889,34.92553711
mali,5,17.6858952,-3.449707031
mauritania,5,21.534847,-10.83251953
nigeria,6,8.993600464,8.558349609
sierra leone,7,8.472372283,-11.70593262
somalia,5,6.22793393,48.18603516
sudan,5,15.87680906,33.64013672
togo,6,9.38403211,1.263427734
zimbabwe,6,-18.56294744,31.7175293
belarus,6,53.78767184,29.32250977
bosnia,7,44.07180047,17.92419434
kazakhstan,4,48.22467265,69.12597656
tajikistan,6,39.13006024,72.27905273
turkmenistan,6,39.11301365,57.60131836
iraq,6,33.59631896,44.98901367
qatar,8,25.45815486,51.4956665
mongolia,5,47.15984001,107.0288086
myanmar,5,18.89589256,98.94287109
thailand,7,13.5819209,100.4425049
